0x0FF1BDD1	-0.03240757, 0.2638901, -0.009819503	-0.06092423, 0.2642322, 0.003411788	
0xE73D6C39	-0.06822896, 0.2664184, 0.03325582	-0.06079602, 0.2677249, 0.00359777	
0xEFB28827	0.0324076, 0.2638901, -0.009819477	0.06092427, 0.2642322, 0.003411822	
0x18CB5A9F	0.068229, 0.2664184, 0.03325584	0.06079607, 0.2677249, 0.003597792	
0x772ABBA6	0.3077205, 0.8847221, -0.02265545	0.2879842, 0.8648563, -0.02328076	
0xDAE21D5D	0.06696242, 0.5296729, 0.07212924	0, 0, 0	
0xCE76A127	-0.4580895, 0.7031892, -0.01387043	-0.4606698, 0.7056922, -0.01228862	
0x1986AD99	-0.04873, 1.015583, 0.04789407	-0.04873, 1.003908, -0.002470285	
0x54135682	0.1024833, 0.5319337, -0.008782994	0.05115549, 0.5303886, 0.004232623	
0xD97D2E80	0.061, 0.747026, 0.114737	0.061, 0.7470262, -7.450581E-09	
0x3BFF1EC1	0.10365, 0.686687, 0.001394302	-9.685755E-08, 0.6759331, 0.003887353	0x0C9E57D0
0x28696C2B	0.050664, 0.971531, 0.062946	0.05066401, 0.971531, 0.05294601	
0xDA12AA46	0.10365, 0.68669, 0.00139	1.341105E-07, 0.6689993, 0.00139	0x0C9E57D0
0xA4F523AD	-0.4059649, 0.7741672, -0.01561141	-0.4134465, 0.7816468, -0.01601392	
0xBABB3A7D	0.4580887, 0.7031869, -0.01387049	0.460672, 0.7056925, -0.01228697	
0x0CF10D3E	0.02952, 0.772398, 0.08545	-3.72529E-08, 0.7731081, 7.450581E-09	
0xDAB8292B	-0.06513283, 0.3717685, 0.05821162	-0.05689277, 0.3740728, 0.009260863	
0x80E537C3	0.03471, 0.780978, -0.06097	3.72529E-09, 0.7731078, -2.980232E-08	
0xE34CB479	0, 1.065899, 0.01960177	-1.999467E-08, 1.099988, -0.02474261	
0xCA6D6D7F	0.04873, 1.015583, 0.04789407	0.04873, 1.003908, -0.002470292	
0xE06C74D5	0.088762, 0.897658, -0.034062	5.960464E-08, 0.8840216, 7.078052E-08	
0x91B1B2DB	0.085628, 0.782201, -0.029003	-1.490116E-08, 0.7731081, 1.490116E-08	
0x425D636A	-0.038722, 0.883398, 0.082277	-1.862645E-08, 0.8840219, -7.450581E-09	
0x6D158FB0	-0.08524299, 1.070426, -0.02713363	-0.08469298, 1.042716, -0.02713362	
0xC94C0C65	-0.050664, 0.971532, 0.062946	-0.050664, 0.971532, 0.05294601	
0xACA798D9	0.1969176, 0.9893081, -0.02345911	0.1802272, 0.9722545, -0.01909923	
0x687E8BDB	-0.10365, 0.686687, 0.001394302	9.685755E-08, 0.6759331, 0.003887353	0xA92B596E
0x8EEABF86	-0.061, 0.747026, 0.114737	-0.061, 0.747026, -7.450581E-09	
0x46327B8C	0.038722, 0.883398, 0.082277	1.490116E-08, 0.8840219, -7.450581E-09	
0x2993E16F	-0.1969176, 0.9893081, -0.02345911	-0.1802276, 0.972254, -0.01909928	
0xBD4CC753	-0.039457, 0.908957, -0.071993	-7.450581E-09, 0.8840217, -8.940697E-08	
0xE75F9BD4	-0.02952, 0.772398, 0.08545	3.72529E-08, 0.7731081, 0	
0x5BC6AAF1	-0.08379, 0.777358, 0.05134	-2.235174E-08, 0.7731076, 0	
0x5A5E1651	0.039457, 0.908957, -0.071993	-9.313226E-08, 0.8840224, 9.685755E-08	
0x3444D3BF	-0.06696242, 0.5296719, 0.07212924	0, 0, 0	
0x5B099700	-0.3077205, 0.8847221, -0.02265545	-0.2879842, 0.8648563, -0.02328076	
0x4A3FCA04	-0.10365, 0.68669, 0.00139	-3.278255E-07, 0.6689981, 0.001389993	0xA92B596E
0xC0FF7EDA	0, 1.102178, -0.05339157	0, 1.104366, -0.08187234	
0x4F8A24BE	0.08524299, 1.070426, -0.02713363	0.08469298, 1.042716, -0.0271336	
0x53E2D95C	0.056, 1.006786, -0.07975762	0.056, 1.023635, -0.007043153	
0x2AB0350B	0.4059649, 0.7741672, -0.01561141	0.4134464, 0.7816469, -0.0160139	
0x7507A630	-0.1024833, 0.5319327, -0.008782994	-0.05115549, 0.5303878, 0.004232642	
0x25805E96	-0.056, 1.006786, -0.07975762	-0.056, 1.023635, -0.007043183	
0x0E7DFA65	0.06513286, 0.3717685, 0.05821165	0.05689276, 0.3740728, 0.009260889	
0xAC57C1D9	-0.03471, 0.780978, -0.06097	-3.72529E-09, 0.7731078, -2.980232E-08	
0xE8507E6F	-0.088762, 0.897658, -0.034062	-6.705523E-08, 0.8840217, -3.72529E-08	
0x98E8FF25	-0.085628, 0.782201, -0.029003	1.490116E-08, 0.7731081, 1.490116E-08	
0x5C614B0F	0.08379, 0.777358, 0.05134	1.490116E-08, 0.7731084, -5.587935E-08	
