0x9196F6B5	-0.135017, 0.4285159, -1.31752	-0.1349977, 0.4278033, -1.262525	
0x96480624	-0.268741, 1.309595, 0.2315167	-0.123741, 1.309595, 0.2315167	
0x8EA6A2C8	-0.123741, 0.372624, 0.1444927	-0.1237421, 0.373128, 0.1924901	
0x5E26402E	0.194998, 0.7081469, -1.242309	0.134998, 0.7081469, -1.242309	
0xF8179DBD	-0.27, 1.320565, -0.1712167	-0.2236972, 1.320572, -0.1712167	
0xA44C550C	0.1225, 1.871752, 0.4492542	0.102299, 1.871752, 0.4492542	
0x2D82EEEE	-0.2875, 1.376973, -0.5891433	-0.2411972, 1.376973, -0.5891433	
0x05B453E6	0, 1.733543, -0.0499804	7.220175E-19, 1.681092, -0.0499804	
0xBFA92786	-0.1225, 1.871752, 0.4492542	-0.102299, 1.871751, 0.4492542	
0x04B7993C	-0.295017, 1.179161, -1.083174	-0.134998, 1.179161, -1.083174	
0xB07A2E26	0.123741, 0.3726241, 0.1444928	0.123741, 0.373128, 0.1924901	
0xAABE959E	0, 1.116521, -0.8401717	0, 1.220258, -0.8339539	
0x59717E8C	0, 0.9741997, -0.02830541	-1.457174E-08, 1.077287, -0.01515396	
0x9F4D5240	0, 1.696032, 0.5773065	-1.46692E-17, 1.715786, 0.5615031	
0xFDE9EA38	-0.195017, 0.7081469, -1.242309	-0.134998, 0.7081437, -1.242303	
0x727A79E3	0, 1.63285, -1.65981	-1.366937E-05, 1.649058, -1.65981	
0xAA62635A	0.268741, 1.309595, 0.2315166	0.123741, 1.309595, 0.2315166	
0xC1D02C52	0.294998, 1.179161, -1.083174	0.134998, 1.179161, -1.083174	
0x4FC6D033	0.134998, 0.4285159, -1.31752	0.134998, 0.4278035, -1.262525	
0xE59BF23B	0.27, 1.320565, -0.1712167	0.2236972, 1.320572, -0.1712167	
0xBBBE16B4	0, 1.6885, -0.7558081	-8.174412E-18, 1.636049, -0.7558081	
0xA86D0B70	0.115486, 1.642104, 0.4182552	0.09585345, 1.642104, 0.4182552	
0x7AAE6264	0, 1.646135, -0.3724872	0, 1.593684, -0.3724872	
0xD9BECB5C	-0.206241, 0.8541847, 0.1928286	-0.1237414, 0.854188, 0.1928286	
0x0728C096	-0.115486, 1.642104, 0.4182552	-0.09585346, 1.642104, 0.4182556	
0xEE35FF29	0, 1.013729, -0.5457928	4.792968E-07, 1.117466, -0.5395758	
0x968F97FF	0, 1.986532, 0.3450153	1.715885E-12, 1.954949, 0.3702666	
0x6F68B2A4	0.2875, 1.376973, -0.5891433	0.2411972, 1.37697, -0.5891448	
0x1374CECB	0, 1.67488, -1.107542	-2.053999E-17, 1.597535, -1.090954	
0x3D833F4E	0.206241, 0.8541847, 0.1928286	0.123741, 0.854188, 0.1928294	
