0x772ABBA6	0.2107066, 0.5860753, -0.002965484	0, 0, 0	
0xBD4CC753	-0.0253, 0.594558, -0.05895	-0.0253, 0.594558, -0.02282469	
0xDAB8292B	-0.05407496, 0.2050428, 0.04055033	0, 0, 0	
0x1986AD99	-0.03339, 0.6724034, 0.04976962	-0.03339, 0.6779534, 0.02265516	
0x54135682	0.08838198, 0.297087, 0.0008529068	0.05880934, 0.2959625, 0.0008827746	
0xD97D2E80	0.036, 0.478278, 0.12894	0.036, 0.478278, 0.0489703	
0x3BFF1EC1	0.09119, 0.4479328, -0.0003244169	0.0183453, 0.405955, -0.0003247947	0x0C9E57D0
0x80E537C3	0.02659, 0.488518, -0.06153	0.02659, 0.488518, -0.01847235	
0x6D158FB0	-0.05888, 0.7182829, -0.009410766	-0.05888, 0.7003691, -0.009410766	
0x0FF1BDD1	-0.02870597, 0.141297, 0.009570837	-0.0499422, 0.1420764, 0.009570837	
0x28696C2B	0.042873, 0.624838, 0.067812	0.042873, 0.624838, 0.03786195	
0xDA12AA46	0, 0.423958, -0.07144	0, 0.423958, -0.03460354	
0x0E7DFA65	0.05407496, 0.2050428, 0.04055033	0, 0, 0	
0x0CF10D3E	0.03349, 0.472828, 0.07974	0.02199248, 0.472828, 0.04793733	
0xDAE21D5D	0.05880419, 0.2891242, 0.05584021	0, 0, 0	
0xC94C0C65	-0.042873, 0.624838, 0.067812	-0.042873, 0.624838, 0.03786196	
0xCA6D6D7F	0.03339, 0.6724034, 0.04976962	0.03339, 0.6779878, 0.02266223	
0x425D636A	-0.03939, 0.568368, 0.07772	-0.03939, 0.568368, 0.02615652	
0xAC57C1D9	-0.02659, 0.488518, -0.06153	-0.02659, 0.488518, -0.01847235	
0xE75F9BD4	-0.03349, 0.472828, 0.07974	-0.0219923, 0.472827, 0.04793739	
0xE8507E6F	-0.06635, 0.571158, -0.03	-0.04817541, 0.571158, 0.007328417	
0xACA798D9	0.1487302, 0.6485166, -0.01518347	0.1383103, 0.6380967, -0.01512057	
0x687E8BDB	-0.09119, 0.4479328, -0.0003244169	-0.0183453, 0.405955, -0.0003244169	0xA92B596E
0xE73D6C39	-0.05471637, 0.1447624, 0.02866115	0, 0, 0	
0xEFB28827	0.02870597, 0.141297, 0.009570837	0.05397837, 0.1422246, 0.009570837	
0x98E8FF25	-0.07799, 0.488588, -0.02455	-0.06158593, 0.488588, -0.003226412	
0xE06C74D5	0.06635, 0.571158, -0.03	0, 0, 0	
0x46327B8C	0.03939, 0.568368, 0.07772	0.03943587, 0.568368, 0.02615655	
0x2993E16F	-0.1487302, 0.6485166, -0.01518347	0, 0, 0	
0x8EEABF86	-0.036, 0.478278, 0.12894	-0.036, 0.478278, 0.04897029	
0x5BC6AAF1	-0.07569, 0.480008, 0.05011	-0.05987385, 0.480008, 0.02324772	
0x5A5E1651	0.0253, 0.594558, -0.05895	0.0253, 0.594558, -0.02282469	
0x53E2D95C	0.04162, 0.6595443, -0.0665923	0, 0, 0	
0x3444D3BF	-0.05880419, 0.2891242, 0.05584021	0, 0, 0	
0x5B099700	-0.2107066, 0.5860753, -0.002965484	-0.1995716, 0.5749403, -0.002900239	
0xC0FF7EDA	0, 0.7318878, -0.04822698	0, 0, 0	
0x4A3FCA04	-0.1126928, 0.447928, -0.00032	-0.01834418, 0.402543, -0.0003245055	0xA92B596E
0x91B1B2DB	0.07799, 0.488588, -0.02455	0.06158593, 0.4885881, -0.003226414	
0x18CB5A9F	0.05471637, 0.1447624, 0.02866115	0, 0, 0	
0x4F8A24BE	0.05888, 0.7182829, -0.009410766	0.05888, 0.7003691, -0.009410766	
0x5C614B0F	0.07569, 0.480008, 0.05011	0.05987411, 0.4800064, 0.02324757	
0xE34CB479	0, 0.6974521, 0.02855862	0, 0.6974521, -7.807836E-05	
0x7507A630	-0.08838198, 0.297087, 0.0008529068	-0.05880931, 0.2959625, 0.0008529068	
0x25805E96	-0.04162, 0.6595443, -0.0665923	0, 0, 0	
