0x9F4D5240	2.230966E-06, 1.119434, 0.275739	2.271571E-06, 1.126289, 0.2620281	
0x8EA6A2C8	-0.08069375, 0.2360424, 0.03172858	-0.0806939, 0.2360427, 0.04850342	
0x5E26402E	0.1233936, 0.5112004, -0.6526265	0.1006281, 0.5112004, -0.6526265	
0x04B7993C	-0.189667, 0.844946, -0.5206494	-0.163615, 0.8449457, -0.5206494	
0xF8179DBD	-0.1449998, 0.9561597, -0.1230276	-0.1022941, 0.9561597, -0.1230276	
0xA44C550C	0.07600185, 1.23536, 0.2070243	0.05028642, 1.23536, 0.2070242	
0x96480624	-0.1631939, 0.9473369, 0.0879978	-0.1204896, 0.947338, 0.0880001	
0x2D82EEEE	-0.17, 0.9618778, -0.2474323	-0.1272953, 0.9618778, -0.2474323	
0x05B453E6	9.438893E-07, 1.153763, -0.08765891	9.324846E-07, 1.107077, -0.08765879	
0xBFA92786	-0.07599815, 1.23536, 0.2070253	-0.05029008, 1.235361, 0.2070239	
0x9196F6B5	-0.079667, 0.2505306, -0.7087044	-0.07966692, 0.2505303, -0.6844097	
0xEE35FF29	1.97695E-07, 0.766793, -0.2574486	1.976983E-07, 0.797536, -0.2574486	
0xC1D02C52	0.189665, 0.844946, -0.5206494	0.163613, 0.844946, -0.5206494	
0xAABE959E	-6.97422E-07, 0.8057204, -0.4109167	-6.97422E-07, 0.8213385, -0.4109174	
0x59717E8C	1.860399E-06, 0.7352569, -0.07115379	1.867909E-06, 0.7659998, -0.07115382	
0xB07A2E26	0.08069325, 0.2360425, 0.03172846	0.0806931, 0.2360425, 0.0485033	
0xFDE9EA38	-0.1233957, 0.5112004, -0.6526265	-0.1006302, 0.5112004, -0.6526265	
0xAA62635A	0.1631931, 0.9473378, 0.08800094	0.1204865, 0.9473378, 0.0880008	
0xBBBE16B4	-4.01895E-07, 1.159721, -0.36025	-4.018944E-07, 1.121295, -0.36025	
0x4FC6D033	0.079665, 0.2505306, -0.7087041	0.079665, 0.2505306, -0.6844095	
0xE59BF23B	0.1450002, 0.9561597, -0.1230279	0.1022936, 0.9561597, -0.1230231	
0xA86D0B70	0.07197446, 1.103983, 0.1855787	0.04172218, 1.103983, 0.1855785	
0x7AAE6264	3.539511E-07, 1.127894, -0.2265878	3.444732E-07, 1.083026, -0.2265878	
0xD9BECB5C	-0.1406938, 0.6252004, 0.06446348	-0.117337, 0.6252006, 0.06446172	
0x0728C096	-0.07197804, 1.103983, 0.1855783	-0.04172577, 1.103983, 0.1855783	
0x968F97FF	1.509296E-06, 1.298931, 0.1329235	1.492116E-06, 1.28979, 0.1397789	
0x6F68B2A4	0.17, 0.9618778, -0.2474323	0.1272934, 0.9618781, -0.2474324	
0x1374CECB	-9.63213E-07, 1.151192, -0.569593	-9.63213E-07, 1.112766, -0.569593	
0x3D833F4E	0.1406932, 0.6252006, 0.06446253	0.1173335, 0.6252006, 0.06446251	
